05/06/2012 14:58:36,0-7380086,TRACK,48.42015,-123.00677,"",""
05/06/2012 14:46:59,0-7380086,TRACK,48.41878,-123.00497,"",""
05/06/2012 14:36:57,0-7380086,TRACK,48.41974,-123.00937,"",""
05/06/2012 14:26:58,0-7380086,TRACK,48.43351,-123.02727,"",""
05/06/2012 14:16:58,0-7380086,TRACK,48.44533,-123.04808,"",""
05/06/2012 14:06:58,0-7380086,TRACK,48.4567,-123.06731,"",""
05/06/2012 13:57:15,0-7380086,TRACK,48.46929,-123.08247,"",""
05/06/2012 13:47:00,0-7380086,TRACK,48.47949,-123.08981,"",""
05/06/2012 13:36:54,0-7380086,TRACK,48.4773,-123.08406,"",""
05/06/2012 13:26:58,0-7380086,TRACK,48.47771,-123.08524,"",""
05/06/2012 13:17:51,0-7380086,TRACK,48.47759,-123.09315,"",""
05/06/2012 13:06:58,0-7380086,TRACK,48.48634,-123.11957,"",""
05/06/2012 12:57:03,0-7380086,TRACK,48.4968,-123.14133,"",""
05/06/2012 12:46:54,0-7380086,TRACK,48.51044,-123.15906,"",""
05/06/2012 12:36:59,0-7380086,TRACK,48.51719,-123.16464,"",""
05/06/2012 12:27:04,0-7380086,TRACK,48.52025,-123.16818,"",""
05/06/2012 12:16:54,0-7380086,TRACK,48.53786,-123.17944,"",""
05/06/2012 12:06:56,0-7380086,TRACK,48.55633,-123.19066,"",""
05/06/2012 11:57:11,0-7380086,TRACK,48.5742,-123.1981,"",""
05/06/2012 11:48:13,0-7380086,TRACK,48.58607,-123.20529,"",""
05/06/2012 11:38:06,0-7380086,TRACK,48.57833,-123.19473,"",""
05/06/2012 11:26:58,0-7380086,TRACK,48.56952,-123.19113,"",""
05/06/2012 11:17:02,0-7380086,TRACK,48.57544,-123.19762,"",""
05/06/2012 11:07:15,0-7380086,TRACK,48.58141,-123.20366,"",""
05/06/2012 10:56:55,0-7380086,TRACK,48.58655,-123.2058,"",""
05/06/2012 10:47:26,0-7380086,TRACK,48.58231,-123.1969,"",""
05/06/2012 10:27:32,0-7380086,TRACK,48.57651,-123.18982,"",""
05/06/2012 10:17:17,0-7380086,TRACK,48.57803,-123.19107,"",""
05/06/2012 10:06:57,0-7380086,TRACK,48.57828,-123.19017,"",""
05/06/2012 09:57:00,0-7380086,TRACK,48.57846,-123.1886,"",""
05/06/2012 09:47:07,0-7380086,TRACK,48.57772,-123.18842,"",""
05/06/2012 09:37:12,0-7380086,TRACK,48.57763,-123.18654,"",""
05/06/2012 09:26:59,0-7380086,TRACK,48.57649,-123.18347,"",""
05/06/2012 09:17:08,0-7380086,TRACK,48.57558,-123.18158,"",""
05/06/2012 09:07:59,0-7380086,TRACK,48.57494,-123.17453,"",""
05/05/2012 17:31:44,0-7380086,TRACK,48.5719,-123.16734,"",""
05/05/2012 17:21:46,0-7380086,TRACK,48.57196,-123.16727,"",""
05/05/2012 17:11:35,0-7380086,TRACK,48.5719,-123.16708,"",""
05/05/2012 17:01:10,0-7380086,TRACK,48.57193,-123.16713,"",""
05/05/2012 16:51:29,0-7380086,TRACK,48.57189,-123.16727,"",""
05/05/2012 16:41:04,0-7380086,TRACK,48.57189,-123.16695,"",""
05/05/2012 16:31:11,0-7380086,TRACK,48.57191,-123.16693,"",""
05/05/2012 16:21:05,0-7380086,TRACK,48.57175,-123.16716,"",""
05/05/2012 16:11:26,0-7380086,TRACK,48.57191,-123.16699,"",""
05/05/2012 16:01:02,0-7380086,TRACK,48.57185,-123.16724,"",""
05/05/2012 15:50:58,0-7380086,TRACK,48.56988,-123.17966,"",""
05/05/2012 15:41:26,0-7380086,TRACK,48.54957,-123.17749,"",""
05/05/2012 15:23:00,0-7380086,TRACK,48.51588,-123.16196,"",""
05/05/2012 15:11:22,0-7380086,TRACK,48.5075,-123.15575,"",""
05/05/2012 15:01:04,0-7380086,TRACK,48.4921,-123.1367,"",""
05/05/2012 14:51:03,0-7380086,TRACK,48.4783,-123.10165,"",""
05/05/2012 14:41:06,0-7380086,TRACK,48.46814,-123.07211,"",""
05/05/2012 14:31:22,0-7380086,TRACK,48.45574,-123.05,"",""
05/05/2012 14:21:22,0-7380086,TRACK,48.44432,-123.02887,"",""
05/05/2012 14:12:30,0-7380086,TRACK,48.43377,-123.01323,"",""
05/05/2012 14:01:01,0-7380086,TRACK,48.42352,-123.00085,"",""
05/05/2012 13:51:04,0-7380086,TRACK,48.42134,-123.00645,"",""
05/05/2012 13:41:14,0-7380086,TRACK,48.41986,-123.00912,"",""
05/05/2012 13:31:04,0-7380086,TRACK,48.41938,-123.004,"",""
05/05/2012 13:21:25,0-7380086,TRACK,48.42167,-122.9798,"",""
05/05/2012 13:11:27,0-7380086,TRACK,48.42369,-122.95657,"",""
05/05/2012 13:01:05,0-7380086,TRACK,48.42206,-122.9397,"",""
05/05/2012 12:50:59,0-7380086,TRACK,48.41717,-122.93605,"",""
05/05/2012 12:41:30,0-7380086,TRACK,48.41246,-122.93353,"",""
05/05/2012 12:31:05,0-7380086,TRACK,48.40681,-122.93291,"",""
05/05/2012 12:20:59,0-7380086,TRACK,48.40128,-122.93304,"",""
05/05/2012 12:11:10,0-7380086,TRACK,48.39715,-122.93295,"",""
05/05/2012 12:02:15,0-7380086,TRACK,48.4067,-122.93167,"",""
